,PIDM,CohortTrm,A/C,Cons/SO,TermsElpsd,TermsAtt,CumCrAtt,CumCrErn,CumCrTran,CrAtt/Term,CrErn/Term,SEX,Eth,EthComputed,Citz,BDate,Age,GradAge,DegC,Maj,Prog,Div,ProgCredits_x,CreditGrp,CtlgYr,DegDte,GradAcadYr,FirstDeg,Minor,FTrmCrAtt,TotalNumCourses,RepeatedNumCourses,NumCE,NumCR,NumNC,SuccessNum,NotSuccessNum,<100,100s,200s,300s,>1000,FYrCreditsAttained,FYrCreditsEarned,Bulletin Year,CumCrEarnedWCC,ExcessCr,PELL,CumGPA
10,531774,200109,A,Cons,4.0,4.0,38.0,77.0,39.0,9.5,9.5,F,B,B,Y,1970-02-20,30.0,31.0,AAS,NURS,NURS,HLT,72.0,60-75,2000.0,2001-12-21,2002.0,1,,200009,16.0,0.0,0.0,16.0,0.0,16.0,0.0,1.0,4.0,11.0,0.0,0.0,27.0,27.0,2002.0,38.0,5.0,1,3.282608696
11,536784,200109,A,Cons,4.0,4.0,57.0,105.0,48.0,14.25,14.25,F,W,W,Y,1954-08-13,46.0,47.0,AAS,AATD,APAATD,BCT,61.0,60-75,2000.0,2001-12-21,2002.0,0,,200009,17.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,11.0,6.0,0.0,0.0,45.0,45.0,2002.0,57.0,44.0,0,3.9666666669999997
12,544123,200109,A,Cons,4.0,4.0,45.0,69.0,24.0,11.25,11.25,M,W,W,Y,1976-08-02,24.0,25.0,AAS,CC,APCC,ATP,61.0,60-75,2000.0,2001-12-21,2002.0,0,,200009,20.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,16.0,4.0,0.0,0.0,34.0,34.0,2002.0,45.0,8.0,0,3.905882353
13,544218,200109,A,Cons,4.0,4.0,42.0,87.0,45.0,10.5,10.5,F,W,W,Y,1978-04-17,22.0,23.0,AAS,PHOT,APPHOT,BCT,61.0,60-75,2000.0,2001-12-21,2002.0,0,,200009,13.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,8.0,5.0,0.0,0.0,29.0,29.0,2002.0,42.0,26.0,0,3.346226415
14,545685,200109,A,Cons,4.0,4.0,44.0,62.0,18.0,11.0,11.0,F,W,W,Y,1980-07-25,20.0,21.0,AAS,PHOT,APPHOT,BCT,61.0,60-75,2000.0,2001-12-21,2002.0,1,,200009,14.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,9.0,5.0,0.0,0.0,35.0,35.0,2002.0,44.0,1.0,0,3.222857143
15,548037,200109,A,Cons,4.0,4.0,18.0,63.0,45.0,4.5,4.5,F,B,B,Y,1978-01-15,22.0,23.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2001-12-21,2002.0,1,,200009,6.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,17.0,17.0,2002.0,18.0,3.0,1,3.670833333
16,557502,200109,A,Cons,3.0,3.0,42.0,88.0,46.0,14.0,14.0,M,W,W,Y,1979-02-12,21.0,22.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2001-12-21,2002.0,1,,200101,7.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,3.0,4.0,0.0,0.0,42.0,42.0,2002.0,42.0,28.0,0,3.22
17,558027,200109,A,Cons,3.0,3.0,40.0,59.0,20.0,13.3333333333333,13.0,F,W,W,F,1979-05-16,21.0,22.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2001-12-21,2002.0,1,,200101,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,9.0,3.0,0.0,0.0,40.0,39.0,2002.0,39.0,-1.0,0,3.961538462
18,564804,200109,A,Cons,2.0,2.0,36.0,36.0,0.0,18.0,18.0,M,W,W,Y,1980-08-27,20.0,21.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2001-12-21,2002.0,1,,200105,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,36.0,36.0,2002.0,36.0,-24.0,0,3.684210526
19,589909,200109,A,Cons,2.0,2.0,30.0,30.0,0.0,15.0,15.0,M,W,W,Y,,,,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2001-12-21,2002.0,1,,200105,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,30.0,30.0,2002.0,30.0,-30.0,0,3.0
20,531555,200201,A,Cons,5.0,5.0,71.0,75.0,4.0,14.2,14.2,M,W,W,Y,1981-07-24,19.0,20.0,AAS,ROB,APROB,ATP,64.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,21.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,13.0,8.0,0.0,0.0,41.0,41.0,2002.0,71.0,11.0,0,3.6771929819999998
21,531715,200201,A,Cons,5.0,5.0,56.0,85.0,29.0,11.2,11.2,M,W,W,Y,1957-06-15,43.0,44.0,AAS,CULD,APCULD,BCT,67.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,19.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,12.0,7.0,0.0,0.0,31.0,31.0,2002.0,56.0,18.0,0,3.91627907
22,532857,200201,A,Cons,5.0,5.0,64.0,64.0,0.0,12.8,12.8,M,W,W,F,1965-03-16,35.0,37.0,AAS,INPD,APINPD,BCT,66.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,22.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,14.0,8.0,0.0,0.0,37.0,37.0,2002.0,64.0,-2.0,0,3.9760000000000004
23,533320,200201,A,Cons,5.0,5.0,63.0,69.0,6.0,12.6,12.6,M,W,W,Y,1978-08-16,22.0,23.0,AAS,AD,APAD,BCT,64.0,60-75,2000.0,2002-04-29,2002.0,0,,200009,17.0,0.0,0.0,17.0,0.0,17.0,0.0,1.0,11.0,5.0,0.0,0.0,45.0,45.0,2002.0,63.0,5.0,0,3.56984127
24,535735,200201,A,Cons,5.0,5.0,60.0,60.0,0.0,12.0,12.0,M,X,X,Y,1982-03-02,18.0,20.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,17.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,14.0,3.0,0.0,0.0,31.0,31.0,2002.0,60.0,0.0,0,3.243181818
25,536122,200201,A,Cons,5.0,4.0,51.0,69.0,18.0,12.75,12.75,M,W,W,Y,1971-05-03,29.0,30.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,16.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,12.0,4.0,0.0,0.0,26.0,26.0,2002.0,51.0,9.0,1,3.847368421
26,536897,200201,A,Cons,5.0,5.0,51.0,72.0,21.0,10.2,10.2,M,W,W,Y,1977-11-25,22.0,24.0,AAS,COLM,APCOLM,ATP,60.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,15.0,0.0,0.0,15.0,0.0,14.0,1.0,0.0,10.0,5.0,0.0,0.0,27.0,27.0,2002.0,51.0,12.0,0,3.2487179489999995
27,536908,200201,A,Cons,5.0,5.0,60.0,60.0,0.0,12.0,12.0,M,W,W,Y,1982-07-05,18.0,19.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,19.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,14.0,5.0,0.0,0.0,27.0,27.0,2002.0,60.0,0.0,0,3.71
28,538825,200201,A,Cons,5.0,5.0,54.0,95.0,42.0,10.8,10.6,F,W,W,Y,1966-12-28,33.0,35.0,AAS,GDTD,APGDTD,BCT,69.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,21.0,0.0,0.0,20.0,1.0,19.0,2.0,1.0,13.0,6.0,0.0,1.0,38.0,37.0,2002.0,53.0,26.0,1,3.236734694
29,540612,200201,A,Cons,5.0,5.0,68.0,65.0,0.0,13.6,13.0,M,W,W,Y,1973-08-27,27.0,28.0,AAS,PHOT,APPHOT,BCT,60.0,60-75,2001.0,2002-04-29,2002.0,1,,200009,20.0,0.0,0.0,20.0,0.0,19.0,1.0,0.0,14.0,6.0,0.0,0.0,41.0,38.0,2002.0,65.0,5.0,0,3.774545455
30,541344,200201,A,Cons,5.0,5.0,68.0,65.0,0.0,13.6,13.0,F,W,W,P,1971-06-13,29.0,30.0,AAS,INPD,APINPD,BCT,66.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,22.0,1.0,0.0,22.0,0.0,21.0,0.0,0.0,11.0,11.0,0.0,0.0,43.0,40.0,2002.0,65.0,-1.0,0,3.764150943
31,541916,200201,A,Cons,5.0,5.0,67.0,67.0,0.0,13.4,13.4,M,W,W,Y,1982-03-26,18.0,20.0,AAS,PHOT,APPHOT,BCT,61.0,60-75,2000.0,2002-04-29,2002.0,0,,200009,20.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,14.0,6.0,0.0,0.0,40.0,40.0,2002.0,67.0,6.0,0,3.360377358
32,542177,200201,A,Cons,5.0,5.0,56.0,69.0,13.0,11.2,11.2,F,B,B,Y,1972-08-19,28.0,29.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2001.0,2002-04-29,2002.0,1,,200009,18.0,0.0,0.0,18.0,0.0,18.0,0.0,1.0,13.0,4.0,0.0,0.0,31.0,31.0,2002.0,56.0,9.0,0,3.9707317069999997
33,543434,200201,A,Cons,5.0,5.0,47.0,98.0,51.0,9.4,9.4,M,W,W,Y,1981-09-07,18.0,20.0,AAS,CNTM,APCNTM,BCT,65.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,15.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,7.0,8.0,0.0,0.0,32.0,32.0,2002.0,47.0,33.0,0,3.8376623380000003
34,544314,200201,A,Cons,5.0,5.0,56.0,64.0,15.0,11.2,9.8,F,W,W,Y,1981-02-03,19.0,21.0,AA,BAS,AABAS,BCT,60.0,60-75,2001.0,2002-04-29,2002.0,1,,200009,17.0,1.0,0.0,17.0,0.0,14.0,2.0,0.0,12.0,5.0,0.0,0.0,30.0,27.0,2002.0,49.0,4.0,0,2.78
35,544717,200201,A,Cons,5.0,5.0,80.0,82.0,2.0,16.0,16.0,M,W,W,Y,1982-07-21,18.0,19.0,AAS,MSS,APMSS,BCT,66.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,26.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,17.0,9.0,0.0,0.0,40.0,40.0,2002.0,80.0,16.0,0,3.4
36,544736,200201,A,Cons,5.0,5.0,64.0,64.0,0.0,12.8,12.8,M,W,W,Y,1981-08-27,19.0,20.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,19.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,16.0,3.0,0.0,0.0,36.0,36.0,2002.0,64.0,4.0,1,3.771875
37,544842,200201,A,SO,5.0,4.0,53.0,60.0,7.0,13.25,13.25,F,B,B,Y,1982-02-17,18.0,20.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,18.0,0.0,0.0,17.0,1.0,17.0,1.0,2.0,13.0,2.0,0.0,1.0,40.0,40.0,2002.0,53.0,0.0,1,3.655
38,545933,200201,A,Cons,5.0,4.0,49.0,62.0,13.0,12.25,12.25,M,W,W,Y,1980-03-12,20.0,22.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,16.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,12.0,4.0,0.0,0.0,25.0,25.0,2002.0,49.0,2.0,0,2.8
39,550134,200201,A,Cons,5.0,5.0,60.0,60.0,4.0,12.0,11.2,M,W,W,Y,1972-12-23,27.0,29.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2002-04-29,2002.0,1,,200009,18.0,0.0,0.0,18.0,0.0,17.0,1.0,0.0,18.0,0.0,0.0,0.0,39.0,39.0,2002.0,56.0,0.0,1,3.15
40,550361,200201,A,SO,5.0,3.0,16.0,61.0,45.0,5.33333333333333,5.33333333333333,M,W,W,Y,1965-01-11,35.0,37.0,AGS,GST,GST,ATP,60.0,60-75,1999.0,2002-04-29,2002.0,1,,200009,6.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,9.0,9.0,,16.0,1.0,0,4.0
41,562593,200201,A,Cons,2.0,2.0,20.0,65.0,45.0,10.0,10.0,F,B,B,Y,1977-12-01,23.0,24.0,AAS,PHT,APPHT,HLT,23.0,60-75,2001.0,2002-04-29,2002.0,1,,200109,7.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,20.0,20.0,2002.0,20.0,42.0,0,3.890909091
42,574697,200201,A,Cons,3.0,3.0,33.0,81.0,51.0,11.0,10.0,F,B,B,Y,1973-07-20,27.0,28.0,AAS,NURS,APNURS,HLT,72.0,60-75,2001.0,2002-04-29,2002.0,1,,200105,14.0,1.0,0.0,14.0,0.0,13.0,0.0,0.0,8.0,6.0,0.0,0.0,33.0,30.0,2002.0,30.0,9.0,1,3.117391304
43,574705,200201,A,Cons,2.0,2.0,21.0,66.0,45.0,10.5,10.5,F,W,W,Y,1969-05-20,32.0,32.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2002-04-29,2002.0,1,,200109,7.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0,21.0,21.0,2002.0,21.0,6.0,0,4.0
44,585530,200201,A,Cons,2.0,2.0,18.0,56.0,38.0,9.0,9.0,F,W,W,Y,1975-12-26,25.0,26.0,AAS,NURT,APNURT,HLT,60.0,60-75,2001.0,2002-04-29,2002.0,1,,200109,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,18.0,18.0,2002.0,18.0,-4.0,0,3.445454545
45,587646,200201,A,Cons,2.0,2.0,19.0,64.0,45.0,9.5,9.5,F,W,W,F,1956-02-15,45.0,46.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2001.0,2002-04-29,2002.0,1,,200109,7.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,3.0,4.0,0.0,0.0,19.0,19.0,2002.0,19.0,4.0,0,4.0
46,589087,200201,A,Cons,2.0,2.0,24.0,69.0,45.0,12.0,12.0,M,W,W,Y,1969-07-10,32.0,32.0,AAS,VID,APVID,BCT,30.0,60-75,2001.0,2002-04-29,2002.0,1,,200109,8.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,6.0,2.0,0.0,0.0,24.0,24.0,2002.0,24.0,39.0,0,3.4083333330000003
47,198689,200205,A,Cons,6.0,6.0,76.0,106.0,30.0,12.6666666666667,12.6666666666667,M,W,W,Y,1980-03-07,20.0,22.0,AAS,METT,APMETT,BCT,61.0,60-75,2001.0,2002-06-27,2002.0,1,,200009,20.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,11.0,9.0,0.0,0.0,43.0,43.0,2002.0,76.0,45.0,0,4.0
48,511362,200205,A,Cons,6.0,5.0,60.0,70.0,14.0,12.0,11.2,M,W,W,Y,1982-06-07,18.0,20.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2002-06-27,2002.0,1,,200009,16.0,0.0,0.0,16.0,0.0,15.0,1.0,0.0,16.0,0.0,0.0,0.0,29.0,29.0,2002.0,56.0,10.0,1,3.924637681
49,530374,200205,A,Cons,6.0,4.0,62.0,62.0,0.0,15.5,15.5,F,W,W,Y,1981-06-09,19.0,21.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2002-06-27,2002.0,1,,200009,19.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,11.0,8.0,0.0,0.0,32.0,32.0,2002.0,62.0,2.0,0,3.916666667
50,531658,200205,A,Cons,6.0,5.0,64.0,60.0,0.0,12.8,12.0,F,W,W,Y,1982-06-02,18.0,20.0,AAS,NURT,APNURT,HLT,64.0,60-75,2000.0,2002-08-22,2002.0,1,,200009,18.0,1.0,0.0,18.0,0.0,17.0,0.0,0.0,11.0,7.0,0.0,0.0,26.0,22.0,2002.0,60.0,-4.0,0,3.255737705
51,532094,200205,A,Cons,6.0,6.0,51.0,98.0,47.0,8.5,8.5,M,O,O,F,1966-11-30,33.0,35.0,AAS,INPD,APINPD,BCT,61.0,60-75,2001.0,2002-08-22,2002.0,0,,200009,19.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,12.0,7.0,0.0,0.0,19.0,19.0,2002.0,51.0,37.0,0,3.866101695
52,537099,200205,A,Cons,6.0,5.0,68.0,68.0,0.0,13.6,13.6,M,O,O,F,1971-09-01,29.0,30.0,AAS,ROB,APROB,ATP,64.0,60-75,2001.0,2002-06-27,2002.0,0,,200009,20.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,11.0,8.0,0.0,0.0,27.0,27.0,2002.0,68.0,4.0,0,2.525806452
53,537182,200205,A,Cons,6.0,6.0,67.0,70.0,3.0,11.1666666666667,11.1666666666667,F,W,W,Y,1982-09-22,17.0,19.0,AA,HSAA,AAHSAA,HSS,60.0,60-75,2000.0,2002-06-27,2002.0,1,,200009,21.0,0.0,0.0,21.0,0.0,21.0,0.0,1.0,13.0,7.0,0.0,0.0,34.0,34.0,2002.0,67.0,10.0,0,3.870491803
54,537201,200205,A,Cons,6.0,5.0,59.0,62.0,3.0,11.8,11.8,F,W,W,F,1975-03-10,25.0,27.0,AAS,MGTM,APMGTM,BCT,60.0,60-75,2000.0,2002-06-27,2002.0,0,,200009,19.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,11.0,8.0,0.0,0.0,25.0,25.0,2002.0,59.0,2.0,0,3.732967033
55,537717,200205,A,Cons,6.0,5.0,67.0,67.0,0.0,13.4,13.4,F,B,B,P,1981-10-17,18.0,20.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2002-06-27,2002.0,1,,200009,22.0,0.0,0.0,22.0,0.0,21.0,1.0,3.0,16.0,3.0,0.0,0.0,30.0,30.0,2002.0,67.0,7.0,1,3.0333333330000003
56,541124,200205,A,Cons,5.0,5.0,57.0,72.0,18.0,11.4,10.8,F,W,W,Y,1977-08-16,23.0,25.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2002-08-22,2002.0,1,,200101,19.0,0.0,1.0,18.0,0.0,18.0,1.0,2.0,15.0,1.0,0.0,1.0,33.0,33.0,2002.0,54.0,12.0,1,3.22
57,542311,200205,A,SO,5.0,3.0,16.0,60.0,45.0,5.33333333333333,5.0,F,W,W,Y,1979-06-21,21.0,23.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2002-06-27,2002.0,1,,200101,7.0,0.0,0.0,7.0,0.0,6.0,1.0,0.0,6.0,1.0,0.0,0.0,8.0,8.0,2002.0,15.0,0.0,0,3.825
58,543052,200205,A,Cons,6.0,6.0,60.0,60.0,0.0,10.0,10.0,F,X,X,Y,1981-12-11,18.0,20.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2002-06-27,2002.0,1,,200009,19.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,15.0,4.0,0.0,0.0,28.0,28.0,2002.0,60.0,0.0,0,3.459722222
59,543309,200205,A,Cons,6.0,5.0,74.0,70.0,0.0,14.8,14.0,M,W,W,Y,1963-10-01,36.0,38.0,AAS,INPD,APINPD,BCT,66.0,60-75,2000.0,2002-06-27,2002.0,1,,200009,23.0,0.0,0.0,23.0,0.0,21.0,2.0,1.0,13.0,9.0,0.0,0.0,44.0,44.0,2002.0,70.0,4.0,1,3.463157895
60,544124,200205,A,SO,6.0,4.0,35.0,61.0,26.0,8.75,8.75,M,W,W,Y,1976-05-09,24.0,26.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2002-06-27,2002.0,1,,200009,11.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,6.0,5.0,0.0,0.0,9.0,9.0,2002.0,35.0,1.0,0,3.971875
61,544131,200205,A,Cons,6.0,5.0,60.0,64.0,4.0,12.0,12.0,M,W,W,Y,1982-02-17,18.0,20.0,AAS,ROB,APROB,ATP,64.0,60-75,2000.0,2002-08-22,2002.0,1,,200009,18.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,10.0,8.0,0.0,0.0,21.0,21.0,2002.0,60.0,0.0,0,3.4533333330000002
62,544850,200205,A,Cons,6.0,5.0,61.0,61.0,0.0,12.2,12.2,M,B,B,F,1980-05-23,20.0,22.0,AS,GSMS,ASGSMS,MSE,60.0,60-75,2000.0,2002-08-22,2002.0,1,,200009,17.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,13.0,4.0,0.0,0.0,27.0,27.0,2002.0,61.0,1.0,0,3.9127272730000002
63,545317,200205,A,Cons,6.0,6.0,66.0,66.0,0.0,11.0,11.0,F,B,B,P,1984-12-27,15.0,17.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2002-08-22,2002.0,1,,200009,20.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,17.0,3.0,0.0,0.0,32.0,32.0,2002.0,66.0,6.0,0,3.6681818180000003
64,546150,200205,A,Cons,6.0,5.0,60.0,60.0,0.0,12.0,12.0,F,W,W,Y,1982-08-02,18.0,19.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2001.0,2002-06-27,2002.0,1,,200009,20.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,16.0,4.0,0.0,0.0,26.0,26.0,2002.0,60.0,0.0,0,3.6884057969999997
65,553466,200205,A,Cons,6.0,6.0,70.0,63.0,0.0,11.6666666666667,10.5,F,B,B,P,1967-11-21,32.0,34.0,AA,GSLA,AAGSLA,HSS,60.0,60-75,2000.0,2002-06-27,2002.0,0,,200009,22.0,0.0,0.0,22.0,0.0,20.0,2.0,0.0,18.0,4.0,0.0,0.0,33.0,30.0,2002.0,63.0,3.0,1,3.587671233
66,556900,200205,A,Cons,5.0,4.0,42.0,72.0,41.0,10.5,7.75,M,W,W,Y,1981-08-24,19.0,20.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2000.0,2002-08-22,2002.0,1,,200101,12.0,1.0,0.0,12.0,0.0,9.0,2.0,0.0,11.0,1.0,0.0,0.0,25.0,22.0,2002.0,31.0,12.0,0,2.7129032260000003
67,558484,200205,A,Cons,5.0,4.0,56.0,75.0,24.0,14.0,12.75,F,O,O,Y,1981-09-29,19.0,20.0,AAS,DAC,APDAC,HLT,38.0,60-75,2001.0,2002-08-22,2002.0,1,,200101,23.0,0.0,0.0,23.0,0.0,22.0,1.0,0.0,20.0,3.0,0.0,0.0,27.0,27.0,2002.0,51.0,37.0,0,3.531914894
68,560375,200205,A,Cons,5.0,5.0,56.0,60.0,10.0,11.2,10.0,F,X,X,Y,1970-07-18,30.0,32.0,AAS,GSAS,APGSAS,MSE,60.0,60-75,2001.0,2002-08-22,2002.0,1,,200101,18.0,1.0,0.0,18.0,0.0,15.0,2.0,0.0,13.0,5.0,0.0,0.0,33.0,30.0,2002.0,50.0,0.0,1,3.131707317
